versuch_id	sample_id	plant_id	accession	plant_name	glucose	fructose	sucrose	raffinose	amino_acids	malate	fumarate	fumarate_withNAs	proline	LT50NAC	LT50ACC	bbch_id	antho_value	anthoscore	number1	date1	aliquot_id	date2	number2
105	81527	642780	Ms-0	[At.Ms-0.n].3-1	10.80329825	9.195596491	11.10211891	1.446861598	4.9825	12.13509542	0.77681805	0.77681805	0.039752235	-7.715	-11.89	53	mittel	3	22	01. Apr 09	642780	22. Jan 09	20
105	81528	642781	Ms-0	[At.Ms-0.n].3-2	7.553090253	6.832830325	9.579516245	1.098774368	3.2257	7.32788891	0.004171744	0.004171744	0.025341619	-7.715	-11.89	52	mittel	3	25	01. Apr 09	642781	22. Jan 09	17
105	81529	642782	Mt-0	[At.Mt-0.n].2-1	15.36278464	13.82326966	6.622707865	1.400501873	3.3678	14.112536	1.04304544	1.04304544	0.065540049	-5.552	-8.162	51	mittel	3	31	01. Apr 09	642782	22. Jan 09	31
105	81530	642783	Mt-0	[At.Mt-0.n].2-2	13.9618707	11.83792471	8.68886743	2.259346972	2.2506	10.65508733	0.198314403	0.198314403	0.056190954	-5.552	-8.162	51	hoch	4	46	01. Apr 09	642783	22. Jan 09	41
105	81531	642813	N13	[At.N13. n].2-1	8.983464837	9.384041166	7.124327616	1.318620926	3.441	12.43763262	0.615588351	0.615588351	0.040955181	-5.523	-11.9	52	gering	2	16	01. Apr 09	642813	22. Jan 09	14
105	81532	642814	N13	[At.N13. n].2-2	12.12848077	11.47168654	10.89325962	1.718069231	4.7026	9.889379238	0.61397761	0.61397761	0.033760018	-5.523	-11.9	51	gering	2	15	01. Apr 09	642814	22. Jan 09	5
105	81533	642680	N14	[At.N14.NULL].31-1	13.49134938	13.4566934	10.07118182	1.558634581	4.2694	11.09679849	0.63972907	0.63972907	0.049244028	-7.346	-12.1	50	gering	2	16	01. Apr 09	642680	22. Jan 09	17
105	81534	642681	N14	[At.N14.NULL].31-2	11.96885442	12.43870884	12.50944021	1.892185442	7.9812	10.88785933	0.415994895	0.415994895	0.071421162	-7.346	-12.1	51	gering	2	18	01. Apr 09	642681	22. Jan 09	17
105	81535	642784	N6	[At.N6.n].2-1	8.184505282	9.608038732	9.813559859	1.646269366	5.7495	7.949960401	1.120115436	1.120115436	0.032556548	-7.344	-11.83	51	mittel	3	10	01. Apr 09	642784	22. Jan 09	11
105	81536	642785	N6	[At.N6.n].2-2	9.514979167	11.69236932	9.159304924	1.644037879	3.2613	10.06335198	1.355047103	1.355047103	0.039958012	-7.344	-11.83	51	gering	2	18	01. Apr 09	642785	22. Jan 09	16
105	81537	642786	N7	[At.N7.n].2-1	21.57006931	17.48256271	9.533191419	2.276445545	5.1686	5.288427779	0.265329623	0.265329623	0.028726771	-6.676	-10.14	50	hoch	4	33	01. Apr 09	642786	22. Jan 09	33
105	81538	642787	N7	[At.N7.n].2-2	39.63057391	32.52734957	23.54594261	3.522038261	8.2312	12.61067794	0.830864283	0.830864283	0.084061993	-6.676	-10.14	51	mittel	3	35	01. Apr 09	642787	22. Jan 09	29
105	81539	642666	Nd-0	[At.Nd-0.n].138-1	15.92868275	14.63019852	8.341380334	1.576194805	6.8547	10.59811877	0.959863848	0.959863848	0.047309121	-6.358	-10.18	51	mittel	3	7	01. Apr 09	642666	22. Jan 09	7
105	81540	642667	Nd-0	[At.Nd-0.n].138-2	14.6675719	13.75149673	7.376084967	1.34453268	3.7533	7.750884042	0.392204337	0.392204337	0.039218716	-6.358	-10.18	51	gering	2	6	01. Apr 09	642667	22. Jan 09	6
105	81541	642788	Nok-1	[At.Nok-1.n].2-1	8.197185792	10.6335337	6.82504918	1.413404372	4.0157	-0.598629174	0.220710565	0.220710565	0.025097186	-6.657	-10.76	19	mittel	3	22	01. Apr 09	642788	22. Jan 09	25
105	81542	642789	Nok-1	[At.Nok-1.n].2-2	8.879079422	9.615400722	6.957187726	0.665308664	5.0483	17.61505163	1.076905987	1.076905987	0.110127332	-6.657	-10.76	50	gering	2	35	01. Apr 09	642789	22. Jan 09	36
105	81543	642660	Old-1	[At.Old-1.NULL].86-1	12.67075453	15.2862257	8.222375618	1.40285173	6.147	0.866912365	0.069078744	0.069078744	0.044777347	NA	NA	51	mittel	3	29	01. Apr 09	642660	22. Jan 09	30
105	81544	642661	Old-1	[At.Old-1.NULL].86-2	14.09550347	16.56900521	7.616614583	1.176024306	5.0952	17.63485203	0.760637693	0.760637693	0.035676796	NA	NA	51	gering	2	39	01. Apr 09	642661	22. Jan 09	39
105	81545	642831	Ost-0	[At.Ost-0.n].1.1-1	9.138462107	8.170116451	5.790885397	1.306829945	4.6487	10.8749698	1.10278358	1.10278358	0.076561883	-5.095	-8.076	55	hoch	4	32	01. Apr 09	642831	22. Jan 09	26
105	81546	642832	Ost-0	[At.Ost-0.n].1.1-2	8.746669342	9.247227929	6.499707865	1.257088283	3.6284	9.80950592	0.130899597	0.130899597	0.045165306	-5.095	-8.076	55	mittel	3	42	01. Apr 09	642832	22. Jan 09	34
105	81547	642821	Oy-1	[At.Oy-1.n].32.1-1	10.40063686	11.13717883	9.935675182	1.595379562	7.7394	19.26388858	0.076516054	0.076516054	0.050748811	-7.199	-11.48	50	hoch	4	34	01. Apr 09	642821	22. Jan 09	36
