versuch_id	sample_id	plant_id	accession	plant_name	glucose	fructose	sucrose	raffinose	amino_acids	malate	fumarate		proline	LT50NAC	LT50ACC	bbch_id	antho_value	anthoscore	number1	date1	aliquot_id	date2	number2
43	43889	476371	Rsch-0	[At.Rsch-0.n].2.11.1	7.7868	10.5321	9.3306	1.2053	5.6047	9.731	3.2461	[At.Rsch-0.n].2.11.1	0.030937135	-5.23	-10.98	51	gering	2	6	31-Mar-08	476371	28. Feb 08	4
43		476372	Rsch-0	[At.Rsch-0.n].2.11.2										-5.23	-10.98	50	mittel	3	17	31-Mar-08	476372	28. Feb 08	17
43	43890	476327	Rubezhnoe-1	[At.Rubezhnoe-1.n].2.1	9.4023	9.5845	10.953	0.629	10.6686	10.7314	9.1213	[At.Rubezhnoe-1.n].2.1	0.049673309	-6.188	-10.71	53	gering	2	14	31-Mar-08	476327	28. Feb 08	12
43	43891	476328	Rubezhnoe-1	[At.Rubezhnoe-1.n].2.2	17.0396	19.3115	14.7523	1.2831	11.2356	15.0131	4.1214	[At.Rubezhnoe-1.n].2.2	0.045576167	-6.188	-10.71	53	mittel	3	28	31-Mar-08	476328	28. Feb 08	30
43	43892	476425	Sah-0	[At.Sah-0. n].2.1	5.0378	7.2814	9.5473	0.4413	6.9146	9.464	3.0133	[At.Sah-0. n].2.1	0.031845778	-4.713	-5.401	51	mittel	3	20	31-Mar-08	476425	28. Feb 08	17
43	43893	476426	Sah-0	[At.Sah-0. n].2.2	3.8534	6.3478	6.8695	0.3404	9.6839	9.8939	3.4347	[At.Sah-0. n].2.2	0.036625437	-4.713	-5.401	50	gering	2	24	31-Mar-08	476426	28. Feb 08	23
43		476345	Sakata	[At.Sakata. n].2.1										NA	NA	50	mittel	3	2	31-Mar-08	476345	28. Feb 08	2
43		476346	Sakata	[At.Sakata. n].2.2										NA	NA	55	sehr gering	1	2	31-Mar-08	476346	28. Feb 08	0
43	43894	476329	Sap-0	[At.Sap-0.n].3.1	13.0237	13.2239	10.5152	1.3189	5.42	12.0973	2.9478	[At.Sap-0.n].3.1	0.03134963	-5.372	-8.679	52	hoch	4	27	31-Mar-08	476329	28. Feb 08	26
43	43895	476330	Sap-0	[At.Sap-0.n].3.2	16.7096	17.2639	12.2116	1.5324	5.8721	12.9038	2.4097	[At.Sap-0.n].3.2	0.033868318	-5.372	-8.679	52	sehr hoch	5	31	31-Mar-08	476330	28. Feb 08	26
43	43896	476369	Sha	[At.Sha.n].3.1.1	10.9675	14.2708	11.029	0.4602	4.198	8.557	2.0471	[At.Sha.n].3.1.1	0.029521688	-6.278	-8.967	50	mittel	3	22	31-Mar-08	476369	28. Feb 08	19
43	43897	476370	Sha	[At.Sha.n].3.1.2	13.5113	15.6646	12.9793	0.2817	6.5489	10.3512	6.2241	[At.Sha.n].3.1.2	0.033242097	-6.278	-8.967	19	gering	2	10	31-Mar-08	476370	28. Feb 08	9
43	43898	476347	Sorbo	[At.Sorbo. n].2.1	16.3339	19.5445	19.1354	1.998	6.3003	10.0963	2.486	[At.Sorbo. n].2.1	0.03108737	-5.026	-9.499	51	gering	2	20	31-Mar-08	476347	28. Feb 08	21
43	43899	476348	Sorbo	[At.Sorbo. n].2.2	18.4637	21.0833	15.6826	2.246	5.9486	11.2545	2.5958	[At.Sorbo. n].2.2	0.03540083	-5.026	-9.499	50	mittel	3	20	31-Mar-08	476348	28. Feb 08	17
43	43900	476331	Sp-0	[At.Sp-0.n].2.1	12.0755942	10.64423188	13.42957126	1.077177536	7.8599	13.1261	3.8869	[At.Sp-0.n].2.1	0.032116295	-5.278	-10.25	50	hoch	4	15	31-Mar-08	476331	28. Feb 08	11
43	43901	476332	Sp-0	[At.Sp-0.n].2.2	19.0859	22.034	20.2715	1.4658	6.1819	13.5821	3.6281	[At.Sp-0.n].2.2	0.037745374	-5.278	-10.25	51	sehr hoch	5	22	31-Mar-08	476332	28. Feb 08	20
43	43902	476333	St-0	[At.St-0.n].22.1	19.2715	18.9894	15.8317	2.1854	6.9642	12.6755	2.6038	[At.St-0.n].22.1	0.039704017	-6.259	-10.34	51	mittel	3	36	31-Mar-08	476333	28. Feb 08	36
43	43903	476334	St-0	[At.St-0.n].22.2	11.4312	12.2805	15.3984	1.1477	10.8444	14.4525	3.3234	[At.St-0.n].22.2	0.047339405	-6.259	-10.34	50	mittel	3	25	31-Mar-08	476334	28. Feb 08	25
43	43904	476355	Stw-0	[At.Stw-0.n].1.1.1	13.1703	14.0735	13.7305	1.2204	7.6983	12.0006	3.5294	[At.Stw-0.n].1.1.1	0.036541759	-6.922	-11.38	50	mittel	3	8	31-Mar-08	476355	28. Feb 08	17
43	43905	476356	Stw-0	[At.Stw-0.n].1.1.2	31.3631	31.8241	22.671	2.7231	5.1241	10.5449	2.9485	[At.Stw-0.n].1.1.2	0.036635742	-6.922	-11.38	51	hoch	4	18	31-Mar-08	476356	28. Feb 08	18
43	43906	476335	Ta-0	[At.Ta-0.n].2.1	20.1952	24.5006	11.171	1.9809	6.0789	12.6812	2.6008	[At.Ta-0.n].2.1	0.033041016	-7.498	-11.16	51	hoch	4	25	31-Mar-08	476335	28. Feb 08	24
43	43907	476336	Ta-0	[At.Ta-0.n].2.2	11.8462	13.7456	11.313	1.1031	9.6673	13.3581	3.0727	[At.Ta-0.n].2.2	0.034821804	-7.498	-11.16	51	hoch	4	31	31-Mar-08	476336	28. Feb 08	34
43	43908	476401	Te-0	[At.Te.n].1.192.1	2.104707729	1.489630435	9.741364734	0.554599034	10.5224	15.4058	4.5619	[At.Te.n].1.192.1	0.063608894	-7.001	-10.87	51	mittel	3	21	31-Mar-08	476401	28. Feb 08	13
43	43909	476402	Te-0	[At.Te.n].1.192.2	15.5773	16.7573	11.6768	2.1654	6.024	8.4107	2.3237	[At.Te.n].1.192.2	0.031104984	-7.001	-10.87	19	mittel	3	10	31-Mar-08	476402	28. Feb 08	10
43	43910	476367	Tsu-9	[At.Tsu-0.n].2.2.1	15.4885	15.1996	12.9227	2.0256	7.9431	11.6513	2.8049	[At.Tsu-0.n].2.2.1	0.03798373	-5.443	-10.78	51	hoch	4	28	31-Mar-08	476367	28. Feb 08	27
